"id","user_id","name","logo_id","sliders","address","facebook","google","twitter","youtube","slug","meta_title","meta_description","pick_up_point_id","shipping_cost","created_at","updated_at"
"325","354","Admirus Marksol Pvt Ltd","\N","\N","\N","\N","\N","\N","\N","demo-shop-354","\N","\N","\N","0","2021-03-04 12:22:45","2021-03-04 12:22:45"
"337","366","Bluesemi Research and Development Private Limited","\N","\N","\N","\N","\N","\N","\N","demo-shop-366","\N","\N","\N","0","2021-03-04 12:26:43","2021-03-04 12:26:43"
"346","375","Corporate Munim","\N","\N","\N","\N","\N","\N","\N","demo-shop-375","\N","\N","\N","0","2021-03-04 12:29:45","2021-03-04 12:29:45"
"349","378","CyberSWIFT Infotech Pvt. Ltd.","\N","\N","\N","\N","\N","\N","\N","demo-shop-378","\N","\N","\N","0","2021-03-04 12:30:45","2021-03-04 12:30:45"
"31","54","DSS Systems and Software Technologies Pvt. Ltd ","413","\N","Sector 23","\N","\N","\N","\N","Sunrise-Software-Technologies-31","sunrise","sunrise technology","[]","0","2021-02-11 11:37:53","2021-02-25 14:33:17"
"354","383","DreamTeam Technologies Pvt. Ltd.","\N","\N","\N","\N","\N","\N","\N","demo-shop-383","\N","\N","\N","0","2021-03-04 12:32:27","2021-03-04 12:32:27"
"358","387","Ecore Systems Pvt. Ltd.","\N","\N","\N","\N","\N","\N","\N","demo-shop-387","\N","\N","\N","0","2021-03-04 12:33:46","2021-03-04 12:33:46"
"360","389","eLuminous Technologies Pvt. Ltd.","\N","\N","\N","\N","\N","\N","\N","demo-shop-389","\N","\N","\N","0","2021-03-04 12:34:23","2021-03-04 12:34:23"
"370","399","Hyperweb AI","\N","\N","\N","\N","\N","\N","\N","demo-shop-399","\N","\N","\N","0","2021-03-04 12:37:47","2021-03-04 12:37:47"
"373","402","Indus Net Technologies Pvt Ltd","\N","\N","\N","\N","\N","\N","\N","demo-shop-402","\N","\N","\N","0","2021-03-04 12:38:42","2021-03-04 12:38:42"
"379","408","Jupiter Exim Trade","\N","\N","\N","\N","\N","\N","\N","demo-shop-408","\N","\N","\N","0","2021-03-04 12:40:34","2021-03-04 12:40:34"
"380","409","K One Ventures LLP ? IOT, AI & Analytics & SAAS","\N","\N","\N","\N","\N","\N","\N","demo-shop-409","\N","\N","\N","0","2021-03-04 12:40:54","2021-03-04 12:40:54"
"382","411","Ketiot Infosystem Private Limited opc","\N","\N","\N","\N","\N","\N","\N","demo-shop-411","\N","\N","\N","0","2021-03-04 12:41:39","2021-03-04 12:41:39"
"383","412","Marwari Catalysts Pvt. Ltd.","\N","\N","\N","\N","\N","\N","\N","demo-shop-412","\N","\N","\N","0","2021-03-04 12:41:59","2021-03-04 12:41:59"
"384","413","Mentorkart","\N","\N","\N","\N","\N","\N","\N","demo-shop-413","\N","\N","\N","0","2021-03-04 12:42:19","2021-03-04 12:42:19"
"330","359","Alcodex Technologies Private Limited","619","\N","\N","\N","\N","\N","\N","demo-shop-359","\N","\N","\N","0","2021-03-04 12:24:24","2021-03-05 06:45:18"
"326","355","Agrahyah Technologies Pvt Ltd.","648","\N","\N","\N","\N","\N","\N","demo-shop-355","\N","\N","\N","0","2021-03-04 12:23:09","2021-03-05 07:00:40"
"323","352","Abstech Services Pvt. Ltd","662","\N","\N","\N","\N","\N","\N","demo-shop-352","\N","\N","\N","0","2021-03-04 12:22:05","2021-03-05 07:06:54"
"381","410","Kassoftindia Pvt. Ltd.","1793","\N","\N","\N","\N","\N","\N","demo-shop-410","\N","\N","\N","0","2021-03-04 12:41:14","2021-03-06 11:53:28"
"331","360","alphaTUB Innovaations Pvt. Ltd.","866","\N","\N","\N","\N","\N","\N","demo-shop-360","\N","\N","\N","0","2021-03-04 12:24:42","2021-03-05 10:10:31"
"345","374","Congruent Solutions Private limited","1447","\N","\N","\N","\N","\N","\N","demo-shop-374","\N","\N","\N","0","2021-03-04 12:29:26","2021-03-06 05:44:57"
"356","385","DSS Systems and Software Technologies Pvt. Ltd.","708","\N","\N","\N","\N","\N","\N","demo-shop-385","\N","\N","\N","0","2021-03-04 12:33:08","2021-03-05 07:56:18"
